"","X","x"
"1",1,"D4ZHLFP1_63_C33P7ACXX_1_2212_15715_94275	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"2",2,"D4ZHLFP1_63_C33P7ACXX_1_2211_20506_95074	Eukaryota(83);Eukaryota_unclassified(83);Eukaryota_unclassified(83);Eukaryota_unclassified(83);Eukaryota_unclassified(83);Eukaryota_unclassified(83);"
"3",3,"D4ZHLFP1_63_C33P7ACXX_1_2102_12369_100288	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"4",4,"D4ZHLFP1_63_C33P7ACXX_1_2316_20214_41729	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"5",5,"D4ZHLFP1_63_C33P7ACXX_1_2306_12140_2900	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"6",6,"D4ZHLFP1_63_C33P7ACXX_1_1203_9480_74707	Archaea(100);Thaumarchaeota(100);Nitrososphaeria(100);Nitrosopumilales(100);Nitrosopumilaceae(100);Nitrosopumilaceae_ge(81);"
"7",7,"D4ZHLFP1_63_C33P7ACXX_1_2108_8202_24186	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"8",8,"D4ZHLFP1_63_C33P7ACXX_1_2113_8505_63931	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"9",9,"D4ZHLFP1_63_C33P7ACXX_1_2312_8556_70425	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"10",10,"D4ZHLFP1_63_C33P7ACXX_1_1212_7835_13227	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"11",11,"D4ZHLFP1_63_C33P7ACXX_1_1107_2523_39614	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"12",12,"D4ZHLFP1_63_C33P7ACXX_1_2306_7715_74140	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"13",13,"D4ZHLFP1_63_C33P7ACXX_1_2213_9094_91218	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"14",14,"D4ZHLFP1_63_C33P7ACXX_1_2305_10723_26247	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"15",15,"D4ZHLFP1_63_C33P7ACXX_1_2213_5845_92300	Eukaryota(85);Eukaryota_unclassified(85);Eukaryota_unclassified(85);Eukaryota_unclassified(85);Eukaryota_unclassified(85);Eukaryota_unclassified(85);"
"16",16,"D4ZHLFP1_63_C33P7ACXX_1_2103_3688_35818	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"17",17,"D4ZHLFP1_63_C33P7ACXX_1_1215_18799_100432	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"18",18,"D4ZHLFP1_63_C33P7ACXX_1_1116_7192_85588	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"19",19,"D4ZHLFP1_63_C33P7ACXX_1_2205_5764_74922	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"20",20,"D4ZHLFP1_63_C33P7ACXX_1_2211_18680_39259	Eukaryota(82);Eukaryota_unclassified(82);Eukaryota_unclassified(82);Eukaryota_unclassified(82);Eukaryota_unclassified(82);Eukaryota_unclassified(82);"
"21",21,"D4ZHLFP1_63_C33P7ACXX_1_2110_11629_59997	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"22",22,"D4ZHLFP1_63_C33P7ACXX_1_1106_4709_69448	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"23",23,"D4ZHLFP1_63_C33P7ACXX_1_2114_18385_12194	Eukaryota(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);"
"24",24,"D4ZHLFP1_63_C33P7ACXX_1_1205_20752_8613	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"25",25,"D4ZHLFP1_63_C33P7ACXX_1_2112_14624_42020	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"26",26,"D4ZHLFP1_63_C33P7ACXX_1_2208_15606_50325	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"27",27,"D4ZHLFP1_63_C33P7ACXX_1_1309_16465_65676	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"28",28,"D4ZHLFP1_63_C33P7ACXX_1_2106_7518_62390	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"29",29,"D4ZHLFP1_63_C33P7ACXX_1_2214_18195_52186	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"30",30,"D4ZHLFP1_63_C33P7ACXX_1_2314_18616_77656	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"31",31,"D4ZHLFP1_63_C33P7ACXX_1_1313_3893_21244	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
